user_id,username,email,country,account_age_days,device_fingerprint,ip_address,ip_asn,failed_login_count,password_resets,recent_password_reset_hours,signup_date,browser,device_type,is_fraudulent
U0093,user_93,user93@example.com,FR,1083,f5159ad668714127,90.63.236.106,AS7922,0,1,644,2023-01-13,Firefox,tablet,0
U0001,user_1,user1@example.com,RU,8,c50a097a22d24608,142.36.52.174,AS210000,4,2,4667,2025-12-23,Chrome,unknown,1
U0079,user_79,user79@example.com,IN,240,ee4cb850cfd24273,117.217.145.121,AS7922,0,1,4121,2025-05-05,Edge,tablet,0
U0038,user_38,user38@example.com,MX,80,6ed2da2db55f42bb,200.57.170.201,AS3320,0,1,3572,2025-10-12,Firefox,tablet,0
U0009,user_9,user9@example.com,RU,14,ea4118a54cff46ce,142.36.134.192,AS14061,10,5,4980,2025-12-17,Edge,tablet,1
U0060,user_60,user60@example.com,ZA,1304,3301902549374e07,196.25.13.233,AS7018,1,0,3427,2022-06-06,bot_crawler,desktop,0
U0018,user_18,user18@example.com,DE,468,21eb1d1ef6df4b22,91.194.67.186,AS7018,2,1,4877,2024-09-19,bot_crawler,unknown,0
U0027,user_27,user27@example.com,GB,1215,232815030b754fb6,86.6.20.159,AS7018,2,0,871,2022-09-03,Edge,tablet,0
U0045,user_45,user45@example.com,RU,854,74e5734cb1024cfb,95.163.65.50,AS15169,1,1,3644,2023-08-30,Edge,mobile,0
U0023,user_23,user23@example.com,JP,467,3bc5f594464e4ee1,202.232.30.43,AS16509,1,1,3304,2024-09-20,Chrome,unknown,0
U0063,user_63,user63@example.com,CN,746,55f94da558824b23,101.6.35.200,AS3320,0,0,529,2023-12-16,Chrome,mobile,0
U0024,user_24,user24@example.com,DE,896,d90c8e4c18494394,91.194.249.40,AS7018,1,1,1755,2023-07-19,Safari,mobile,0
U0004,user_4,user4@example.com,GB,11,feceae70019d431a,86.6.135.207,AS7018,9,2,15,2025-12-20,bot_crawler,desktop,1
U0036,user_36,user36@example.com,JP,661,b1f5750efecf443f,202.232.20.231,AS15169,0,0,3131,2024-03-10,Firefox,mobile,0
U0037,user_37,user37@example.com,RU,1627,a9f5c63ba1a8409a,95.163.208.250,AS7018,0,1,1466,2021-07-18,Firefox,mobile,0
U0075,user_75,user75@example.com,CN,901,577315ae51db4ff8,101.6.169.91,AS7018,2,1,3917,2023-07-14,Safari,tablet,0
U0033,user_33,user33@example.com,BR,1762,8779b378b8e7430d,187.0.47.163,AS7922,1,1,3669,2021-03-05,Safari,desktop,0
U0087,user_87,user87@example.com,CA,929,ae57c1d98e4f4033,142.36.239.177,AS7922,1,1,2691,2023-06-16,Edge,tablet,0
U0083,user_83,user83@example.com,DE,1278,5abd0d17a3464362,91.194.106.161,AS7922,2,0,1928,2022-07-02,Safari,desktop,0
U0058,user_58,user58@example.com,CN,641,53f95edfd64e4564,101.6.214.138,AS16509,0,1,4673,2024-03-30,bot_crawler,mobile,0
U0078,user_78,user78@example.com,AU,649,6c7af2f876f1404c,101.160.64.71,AS7922,1,0,572,2024-03-22,Chrome,tablet,0
U0096,user_96,user96@example.com,BR,490,bc8dc6a3390144eb,187.0.236.243,AS7922,1,0,1162,2024-08-28,Firefox,unknown,0
U0081,user_81,user81@example.com,GB,340,8a8235a119404e01,86.6.155.22,AS3320,2,0,2233,2025-01-25,Chrome,unknown,0
U0008,user_8,user8@example.com,RU,7,5a222c698f7b4df6,95.163.205.69,AS15169,8,2,19,2025-12-24,Safari,mobile,1
U0052,user_52,user52@example.com,US,1767,7b25373c91504083,192.168.233.35,AS7922,2,0,4006,2021-02-28,bot_crawler,tablet,0
U0014,user_14,user14@example.com,AU,2,70a03fb3004c4625,101.160.64.33,AS7922,12,2,4703,2025-12-29,Firefox,tablet,1
U0047,user_47,user47@example.com,MX,982,e766f39bd0f04e0a,200.57.226.173,AS16509,2,1,1950,2023-04-24,bot_crawler,unknown,0
U0012,user_12,user12@example.com,GB,5,610575450e974f66,86.6.91.130,AS15169,7,5,2644,2025-12-26,bot_crawler,mobile,1
U0095,user_95,user95@example.com,CN,278,9affa44c7b134d41,101.6.122.182,AS7922,2,1,1497,2025-03-28,Safari,desktop,0
U0066,user_66,user66@example.com,GB,668,0736194f6b8e44e8,86.6.192.102,AS7018,2,0,1824,2024-03-03,Chrome,mobile,0
U0026,user_26,user26@example.com,US,1773,e623c92ebce142ce,192.168.35.153,AS3320,2,0,756,2021-02-22,Firefox,unknown,0
U0054,user_54,user54@example.com,DE,1598,47ba0517c92840da,91.194.248.161,AS7018,0,1,2159,2021-08-16,Safari,unknown,0
U0048,user_48,user48@example.com,MX,1379,9e49a3da4e7b4ed1,200.57.145.132,AS7922,2,0,2945,2022-03-23,Chrome,mobile,0
U0072,user_72,user72@example.com,AU,727,9c50671ed8fe46ed,101.160.141.143,AS15169,1,1,283,2024-01-04,bot_crawler,mobile,0
U0069,user_69,user69@example.com,JP,1478,8cfa9b9fb1ec4d77,202.232.222.46,AS3320,1,1,4474,2021-12-14,Safari,unknown,0
U0011,user_11,user11@example.com,JP,14,725912f91a9d422f,202.232.5.175,AS7018,9,6,4598,2025-12-17,Safari,tablet,1
